Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.0002,,,,,,,
Sample Interval,3.84025e-07,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5207,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,2,,0.5,,0.5,,0.5,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-9.998e-04,2.84,2.76,0.25,0.17,1.16,1.06,1.27,1.19
-9.995e-04,2.84,2.92,0.19,0.29,1.14,1.18,1.27,1.29
-9.991e-04,2.84,2.76,0.05,-0.03,1.1,1.08,1.23,1.21
-9.987e-04,2.84,2.92,-0.03,0.21,1.1,1.14,1.23,1.27
-9.983e-04,2.84,2.76,-0.07,-0.11,1.08,1.04,1.21,1.19
-9.979e-04,2.84,2.92,-0.09,-0.01,1.08,1.1,1.21,1.25
-9.975e-04,2.92,2.84,-0.13,-0.15,1.04,1.02,1.19,1.15
-9.972e-04,2.92,2.92,-0.15,-0.09,1.02,1.08,1.17,1.21
-9.968e-04,2.92,2.84,-0.15,-0.17,1,1,1.17,1.13
-9.964e-04,2.92,2.92,-0.15,-0.11,1,1.04,1.15,1.19
-9.960e-04,2.92,2.84,-0.13,-0.17,0.98,0.96,1.13,1.09
-9.956e-04,2.84,2.92,-0.17,-0.13,0.98,1.02,1.13,1.17
-9.952e-04,2.92,2.84,-0.17,-0.19,0.96,0.92,1.09,1.07
-9.948e-04,2.92,2.92,-0.17,-0.13,0.94,0.98,1.09,1.13
-9.945e-04,2.92,2.84,-0.17,-0.19,0.92,0.88,1.07,1.03
-9.941e-04,2.92,3,-0.17,-0.15,0.9,0.96,1.05,1.09
-9.937e-04,2.92,2.84,-0.17,-0.21,0.9,0.86,1.05,1.01
-9.933e-04,2.92,3,-0.19,-0.15,0.86,0.92,1.03,1.07
-9.929e-04,2.92,2.84,-0.17,-0.21,0.86,0.82,1.01,0.97
-9.925e-04,2.92,3,-0.19,-0.15,0.84,0.88,0.99,1.03
-9.922e-04,2.92,2.84,-0.17,-0.21,0.82,0.8,0.99,0.95
-9.918e-04,2.92,3,-0.19,-0.15,0.82,0.86,0.97,1.01
-9.914e-04,2.92,2.84,-0.19,-0.21,0.8,0.76,0.95,0.91
-9.910e-04,2.92,3,-0.19,-0.17,0.78,0.84,0.95,0.99
-9.906e-04,2.92,2.84,-0.19,-0.21,0.78,0.74,0.91,0.89
-9.902e-04,2.92,3,-0.21,-0.17,0.76,0.8,0.91,0.95
-9.899e-04,2.92,2.84,-0.19,-0.21,0.74,0.7,0.91,0.87
-9.895e-04,2.92,3,-0.19,-0.17,0.72,0.76,0.87,0.93
-9.891e-04,2.92,2.84,-0.19,-0.21,0.72,0.68,0.89,0.85
-9.887e-04,2.92,3,-0.19,-0.17,0.7,0.74,0.87,0.89
-9.883e-04,2.92,2.84,-0.19,-0.23,0.68,0.66,0.85,0.81
-9.879e-04,2.92,3,-0.21,-0.19,0.68,0.7,0.83,0.87
-9.876e-04,2.92,2.84,-0.21,-0.23,0.68,0.62,0.83,0.79
-9.872e-04,2.92,3,-0.19,-0.19,0.66,0.7,0.81,0.85
-9.868e-04,2.92,2.84,-0.21,-0.23,0.64,0.6,0.79,0.77
-9.864e-04,2.92,3,-0.21,-0.19,0.64,0.66,0.79,0.83
-9.860e-04,2.92,2.92,-0.23,-0.23,0.62,0.58,0.77,0.73
-9.856e-04,2.92,3,-0.21,-0.19,0.6,0.64,0.77,0.81
-9.852e-04,2.92,2.84,-0.21,-0.23,0.6,0.56,0.75,0.73
-9.849e-04,3,3,-0.21,-0.19,0.6,0.62,0.75,0.77
-9.845e-04,2.92,2.84,-0.21,-0.25,0.58,0.54,0.73,0.69
-9.841e-04,2.92,3,-0.21,-0.19,0.56,0.6,0.73,0.77
-9.837e-04,3,2.92,-0.21,-0.25,0.54,0.52,0.71,0.67
-9.833e-04,2.92,3,-0.23,-0.19,0.54,0.58,0.71,0.73
-9.829e-04,2.92,2.84,-0.23,-0.25,0.52,0.5,0.69,0.65
-9.826e-04,2.92,3,-0.23,-0.21,0.52,0.54,0.69,0.71
-9.822e-04,2.92,2.92,-0.23,-0.25,0.5,0.48,0.67,0.63
-9.818e-04,2.92,3,-0.21,-0.21,0.5,0.54,0.67,0.69
-9.814e-04,2.92,2.92,-0.23,-0.25,0.5,0.46,0.65,0.61
-9.810e-04,3,3,-0.25,-0.21,0.5,0.5,0.65,0.67
-9.806e-04,2.92,2.92,-0.23,-0.25,0.48,0.44,0.63,0.59
-9.803e-04,2.92,3,-0.25,-0.21,0.46,0.5,0.61,0.65
-9.799e-04,2.92,2.84,-0.25,-0.25,0.46,0.42,0.63,0.57
-9.795e-04,2.92,3,-0.23,-0.21,0.46,0.48,0.61,0.63
-9.791e-04,3,2.92,-0.23,-0.25,0.44,0.42,0.61,0.57
-9.787e-04,2.92,3,-0.23,-0.21,0.44,0.46,0.57,0.63
-9.783e-04,2.92,2.92,-0.25,-0.27,0.42,0.4,0.57,0.55
-9.780e-04,2.92,3,-0.23,-0.23,0.42,0.44,0.57,0.59
-9.776e-04,2.92,2.84,-0.25,-0.25,0.4,0.38,0.55,0.53
-9.772e-04,2.92,3,-0.23,-0.21,0.4,0.42,0.55,0.59
-9.768e-04,3,2.84,-0.23,-0.25,0.38,0.36,0.53,0.51
-9.764e-04,3,3,-0.23,-0.21,0.38,0.42,0.55,0.57
-9.760e-04,2.92,2.92,-0.25,-0.27,0.38,0.36,0.53,0.49
-9.756e-04,2.92,3,-0.25,-0.23,0.38,0.4,0.53,0.55
-9.753e-04,3,2.84,-0.25,-0.27,0.36,0.34,0.51,0.49
-9.749e-04,3,3,-0.25,-0.23,0.34,0.38,0.51,0.53
-9.745e-04,3,2.92,-0.25,-0.27,0.34,0.32,0.49,0.47
-9.741e-04,2.92,3,-0.23,-0.23,0.32,0.38,0.51,0.51
-9.737e-04,3,2.84,-0.25,-0.27,0.34,0.3,0.49,0.45
-9.733e-04,2.92,3,-0.25,-0.23,0.32,0.36,0.47,0.51
-9.730e-04,2.92,2.84,-0.25,-0.27,0.32,0.28,0.47,0.45
-9.726e-04,2.92,3,-0.25,-0.23,0.32,0.34,0.47,0.49
-9.722e-04,2.92,2.92,-0.25,-0.27,0.32,0.28,0.47,0.43
-9.718e-04,3,3,-0.25,-0.23,0.3,0.32,0.45,0.49
-9.714e-04,2.92,2.92,-0.25,-0.27,0.3,0.26,0.45,0.43
-9.710e-04,3,3,-0.25,-0.23,0.28,0.32,0.45,0.47
-9.707e-04,3,2.92,-0.23,-0.27,0.28,0.26,0.43,0.41
-9.703e-04,2.92,3,-0.27,-0.23,0.28,0.32,0.43,0.47
-9.699e-04,2.92,2.92,-0.27,-0.27,0.28,0.24,0.43,0.41
-9.695e-04,2.92,3,-0.25,-0.23,0.24,0.3,0.41,0.45
-9.691e-04,2.92,2.92,-0.27,-0.27,0.26,0.24,0.41,0.39
-9.687e-04,2.92,3,-0.27,-0.23,0.26,0.28,0.41,0.45
-9.683e-04,2.92,2.92,-0.25,-0.27,0.26,0.22,0.39,0.37
-9.680e-04,2.92,3,-0.25,-0.23,0.24,0.28,0.39,0.43
-9.676e-04,2.92,2.92,-0.25,-0.29,0.22,0.2,0.39,0.37
-9.672e-04,2.92,3,-0.27,-0.25,0.22,0.26,0.39,0.41
-9.668e-04,2.92,2.84,-0.27,-0.27,0.22,0.2,0.39,0.35
-9.664e-04,3,3,-0.25,-0.23,0.22,0.24,0.37,0.39
-9.660e-04,3,2.92,-0.25,-0.29,0.22,0.2,0.37,0.35
-9.657e-04,3,3,-0.27,-0.23,0.22,0.24,0.37,0.39
-9.653e-04,2.92,2.92,-0.27,-0.29,0.22,0.18,0.37,0.35
-9.649e-04,2.92,3,-0.27,-0.25,0.2,0.22,0.37,0.39
-9.645e-04,2.92,2.92,-0.27,-0.29,0.2,0.16,0.35,0.33
-9.641e-04,3,3,-0.25,-0.23,0.18,0.22,0.35,0.37
-9.637e-04,2.92,2.92,-0.25,-0.29,0.2,0.16,0.35,0.33
-9.634e-04,3,3,-0.25,-0.25,0.2,0.2,0.35,0.37
-9.630e-04,2.92,2.92,-0.25,-0.29,0.18,0.16,0.33,0.31
-9.626e-04,2.92,3,-0.27,-0.23,0.18,0.2,0.33,0.37
-9.622e-04,3,2.92,-0.27,-0.29,0.18,0.16,0.33,0.31
-9.618e-04,2.92,3,-0.27,-0.25,0.16,0.2,0.33,0.35
-9.614e-04,2.92,2.84,-0.27,-0.29,0.16,0.14,0.31,0.29
-9.611e-04,2.92,3,-0.27,-0.25,0.14,0.18,0.33,0.33
-9.607e-04,2.92,2.92,-0.27,-0.29,0.16,0.14,0.31,0.29
-9.603e-04,3,3,-0.27,-0.25,0.14,0.18,0.31,0.33
-9.599e-04,2.92,2.84,-0.27,-0.29,0.16,0.12,0.29,0.27
-9.595e-04,2.92,3,-0.27,-0.25,0.14,0.16,0.31,0.33
-9.591e-04,2.92,2.92,-0.27,-0.29,0.14,0.12,0.29,0.27
-9.587e-04,2.92,3,-0.27,-0.25,0.14,0.16,0.29,0.31
-9.584e-04,2.92,2.84,-0.29,-0.29,0.14,0.12,0.29,0.25
-9.580e-04,2.92,3,-0.27,-0.25,0.14,0.16,0.29,0.31
-9.576e-04,3,2.92,-0.27,-0.29,0.14,0.1,0.27,0.25
-9.572e-04,2.92,3,-0.27,-0.25,0.14,0.14,0.27,0.29
-9.568e-04,3,2.92,-0.27,-0.29,0.12,0.1,0.29,0.25
-9.564e-04,2.92,3,-0.29,-0.25,0.14,0.14,0.25,0.29
-9.561e-04,3,2.84,-0.27,-0.29,0.12,0.1,0.27,0.23
-9.557e-04,2.92,3,-0.27,-0.25,0.12,0.14,0.27,0.29
-9.553e-04,2.92,2.92,-0.27,-0.29,0.12,0.1,0.27,0.23
-9.549e-04,3,3,-0.27,-0.25,0.1,0.12,0.25,0.29
-9.545e-04,3,2.92,-0.27,-0.29,0.1,0.08,0.25,0.23
-9.541e-04,3,3,-0.27,-0.25,0.1,0.14,0.25,0.27
-9.538e-04,2.92,2.92,-0.27,-0.29,0.1,0.08,0.27,0.23
-9.534e-04,2.92,3,-0.27,-0.25,0.1,0.12,0.25,0.27
-9.530e-04,2.92,2.92,-0.27,-0.29,0.1,0.08,0.25,0.21
-9.526e-04,3,3,-0.27,-0.25,0.08,0.12,0.25,0.27
-9.522e-04,3,2.92,-0.27,-0.29,0.08,0.06,0.25,0.21
-9.518e-04,3,3,-0.29,-0.25,0.1,0.12,0.23,0.25
-9.515e-04,3,2.92,-0.27,-0.29,0.08,0.06,0.23,0.21
-9.511e-04,2.92,3,-0.29,-0.25,0.08,0.1,0.23,0.25
-9.507e-04,3,2.92,-0.27,-0.29,0.08,0.06,0.23,0.21
-9.503e-04,3,3,-0.27,-0.25,0.08,0.1,0.21,0.25
-9.499e-04,3,2.92,-0.27,-0.29,0.08,0.04,0.23,0.19
-9.495e-04,2.92,3,-0.29,-0.25,0.08,0.1,0.21,0.23
-9.491e-04,3,2.92,-0.27,-0.29,0.06,0.04,0.21,0.19
-9.488e-04,3,3,-0.27,-0.25,0.06,0.08,0.21,0.23
-9.484e-04,3,2.92,-0.27,-0.29,0.06,0.04,0.21,0.19
-9.480e-04,2.92,3,-0.27,-0.25,0.06,0.08,0.21,0.23
-9.476e-04,2.92,2.92,-0.27,-0.29,0.06,0.04,0.21,0.19
-9.472e-04,2.92,3,-0.27,-0.25,0.06,0.08,0.21,0.23
-9.468e-04,2.92,2.84,-0.29,-0.29,0.06,0.04,0.21,0.19
-9.465e-04,3,3,-0.27,-0.25,0.06,0.08,0.21,0.23
-9.461e-04,2.92,2.92,-0.27,-0.31,0.04,0.04,0.21,0.17
-9.457e-04,2.92,3,-0.27,-0.25,0.04,0.08,0.21,0.23
-9.453e-04,2.92,2.92,-0.27,-0.29,0.06,0.04,0.19,0.17
-9.449e-04,3,3,-0.27,-0.25,0.04,0.08,0.19,0.23
-9.445e-04,2.92,2.92,-0.27,-0.29,0.04,0.02,0.19,0.17
-9.442e-04,2.92,3,-0.29,-0.25,0.04,0.08,0.19,0.21
-9.438e-04,2.92,2.92,-0.27,-0.29,0.04,0.02,0.19,0.17
-9.434e-04,2.92,3,-0.27,-0.25,0.04,0.06,0.19,0.21
-9.430e-04,2.92,2.84,-0.29,-0.31,0.06,-4.47035e-10,0.17,0.17
-9.426e-04,3,3,-0.27,-0.27,0.04,0.06,0.19,0.21
-9.422e-04,3,2.92,-0.29,-0.31,0.04,0.02,0.19,0.17
-9.419e-04,2.92,3,-0.29,-0.25,0.04,0.06,0.17,0.21
-9.415e-04,2.92,2.92,-0.29,-0.31,0.02,0.02,0.19,0.15
-9.411e-04,3,3,-0.29,-0.25,0.04,0.06,0.19,0.19
-9.407e-04,2.92,2.92,-0.29,-0.29,0.04,-4.47035e-10,0.17,0.15
-9.403e-04,3,3,-0.27,-0.25,0.02,0.06,0.17,0.19
-9.399e-04,3,2.92,-0.27,-0.29,0.02,-4.47035e-10,0.17,0.15
-9.395e-04,2.92,3,-0.29,-0.25,0.02,0.04,0.17,0.19
-9.392e-04,2.92,2.92,-0.29,-0.31,0.02,-4.47035e-10,0.17,0.15
-9.388e-04,3,3,-0.29,-0.27,0.04,0.04,0.17,0.19
-9.384e-04,2.92,2.92,-0.29,-0.31,0.02,-4.47035e-10,0.15,0.15
-9.380e-04,2.92,3,-0.29,-0.27,0.02,0.04,0.17,0.19
-9.376e-04,3,2.92,-0.27,-0.31,0.02,-4.47035e-10,0.17,0.15
-9.372e-04,2.92,3,-0.27,-0.25,-4.47035e-10,0.04,0.17,0.19
-9.369e-04,3,2.92,-0.29,-0.31,0.02,-4.47035e-10,0.15,0.13
-9.365e-04,2.92,3,-0.27,-0.25,0.02,0.04,0.15,0.17
-9.361e-04,3,2.92,-0.27,-0.29,0.02,-4.47035e-10,0.15,0.13
-9.357e-04,2.92,3.08,-0.27,-0.25,0.02,0.04,0.17,0.17
-9.353e-04,3,2.92,-0.27,-0.29,0.02,-4.47035e-10,0.15,0.13
-9.349e-04,3,3,-0.27,-0.27,-4.47035e-10,0.04,0.15,0.17
-9.346e-04,2.92,2.92,-0.29,-0.31,0.02,-0.02,0.15,0.13
-9.342e-04,3,3,-0.27,-0.27,-4.47035e-10,0.04,0.15,0.17
-9.338e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.15,0.13
-9.334e-04,2.92,3.08,-0.29,-0.25,0.02,0.02,0.13,0.17
-9.330e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.15,0.13
-9.326e-04,3,3,-0.27,-0.27,0.02,0.04,0.15,0.17
-9.323e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.15,0.13
-9.319e-04,2.92,3,-0.29,-0.27,-4.47035e-10,0.02,0.15,0.17
-9.315e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.15,0.11
-9.311e-04,3,3,-0.29,-0.27,-0.02,0.02,0.15,0.17
-9.307e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.13,0.11
-9.303e-04,2.92,3,-0.29,-0.27,-4.47035e-10,0.04,0.15,0.15
-9.299e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.15,0.11
-9.296e-04,2.92,3,-0.29,-0.25,-4.47035e-10,0.02,0.13,0.17
-9.292e-04,2.92,2.92,-0.27,-0.31,-4.47035e-10,-0.02,0.13,0.11
-9.288e-04,2.92,3,-0.29,-0.27,-4.47035e-10,0.02,0.13,0.15
-9.284e-04,2.92,2.92,-0.29,-0.31,-4.47035e-10,-0.02,0.13,0.11
