Model,DPO2004B
Firmware Version,1.52

Point Format,Y,,,,,,,
Horizontal Units,S,,,,,,,
Horizontal Scale,0.004,,,,,,,
Sample Interval,7.68049e-06,,,,,,,
Filter Frequency,7e+07,,,,,,,
Record Length,5208,,,,,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,1,,10,,10,,10,
Vertical Units,V,,V,,V,,V,
Vertical Offset,0,,0,,0,,0,
Vertical Scale,5,,1,,1,,1,
Label,,,,,,,,
TIME,CH1,CH1 Peak Detect,CH2,CH2 Peak Detect,CH3,CH3 Peak Detect,CH4,CH4 Peak Detect
-2.0000e-02,9.5,9.5,0.38,-1.26,3.44,1.88,3.94,2.46
-1.9992e-02,9.9,10.1,-1.18,0.54,2.72,3.48,3.26,4.02
-1.9984e-02,9.9,9.7,-1.22,-1.42,1.84,0.8,2.46,1.42
-1.9977e-02,9.9,10.1,-1.3,-1.22,1.24,1.92,1.86,2.5
-1.9969e-02,9.9,9.7,-1.34,-1.5,0.8,0.28,1.42,0.86
-1.9961e-02,9.9,10.1,-1.42,-1.3,0.52,0.84,1.1,1.46
-1.9954e-02,10.1,9.7,-1.46,-1.62,0.28,0.04,0.9,0.58
-1.9946e-02,9.9,10.1,-1.54,-1.46,0.16,0.32,0.74,0.9
-1.9938e-02,9.9,9.9,-1.58,-1.7,0.04,-0.12,0.62,0.38
-1.9931e-02,9.9,10.1,-1.66,-1.3,-8.9407e-10,0.08,0.54,0.62
-1.9923e-02,9.9,9.7,-1.34,-1.38,-0.12,-0.16,0.42,0.34
-1.9915e-02,9.9,10.1,-1.3,-1.26,-0.12,-0.08,0.42,0.46
-1.9908e-02,9.9,9.9,-1.3,-1.34,-0.16,-0.2,0.34,0.26
-1.9900e-02,9.9,10.1,-1.3,-1.26,-0.16,-0.12,0.34,0.38
-1.9892e-02,9.9,9.9,-1.3,-1.34,-0.16,-0.2,0.3,0.22
-1.9884e-02,9.9,10.1,-1.3,-1.26,-0.16,-0.12,0.26,0.34
-1.9877e-02,9.9,9.9,-1.3,-1.34,-0.16,-0.2,0.26,0.18
-1.9869e-02,10.1,10.1,-1.3,-1.26,-0.2,-0.12,0.26,0.3
-1.9861e-02,10.1,9.9,-1.3,-1.34,-0.16,-0.2,0.22,0.18
-1.9854e-02,10.1,10.1,-1.26,-1.22,-0.16,-0.12,0.26,0.26
-1.9846e-02,9.9,9.9,-1.26,-1.34,-0.16,-0.2,0.22,0.14
-1.9838e-02,9.9,10.1,-1.26,-1.22,-0.16,-0.12,0.22,0.26
-1.9831e-02,10.1,9.9,-1.26,-1.34,-0.16,-0.2,0.22,0.14
-1.9823e-02,10.1,10.1,-1.26,-1.22,-0.16,-0.12,0.18,0.26
-1.9815e-02,9.9,9.9,-1.26,-1.34,-0.16,-0.2,0.18,0.1
-1.9808e-02,10.1,10.1,-1.26,-1.22,-0.16,-0.12,0.18,0.22
-1.9800e-02,9.9,9.9,-1.26,-1.3,-0.16,-0.2,0.14,0.1
-1.9792e-02,9.9,10.1,-1.26,-1.22,-0.12,-0.12,0.18,0.18
-1.9785e-02,10.1,9.9,-1.22,-1.34,-0.12,-0.16,0.14,0.1
-1.9777e-02,9.9,10.1,-1.26,-1.22,-0.16,-0.08,0.18,0.18
-1.9769e-02,10.1,9.9,-1.26,-1.3,-0.12,-0.16,0.18,0.1
-1.9762e-02,10.1,10.1,-1.26,-1.22,-0.12,-0.08,0.14,0.18
-1.9754e-02,9.9,9.9,-1.26,-1.3,-0.12,-0.16,0.14,0.1
-1.9746e-02,10.1,10.1,-1.26,-1.22,-0.12,-0.08,0.14,0.18
-1.9739e-02,10.1,9.9,-1.22,-1.3,-0.12,-0.16,0.14,0.06
-1.9731e-02,9.9,10.1,-1.26,-1.22,-0.12,-0.08,0.1,0.14
-1.9723e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.16,0.1,0.06
-1.9716e-02,10.1,10.1,-1.26,-1.22,-0.12,-0.08,0.1,0.14
-1.9708e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.06
-1.9700e-02,9.9,10.3,-1.26,-1.22,-0.08,-0.04,0.1,0.14
-1.9692e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.06
-1.9685e-02,10.1,10.1,-1.26,-1.22,-0.08,-0.04,0.1,0.14
-1.9677e-02,10.1,9.9,-1.22,-1.3,-0.08,-0.12,0.1,0.02
-1.9669e-02,9.9,10.1,-1.26,-1.22,-0.08,-0.04,0.1,0.14
-1.9662e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.02
-1.9654e-02,10.1,10.1,-1.22,-1.22,-0.08,-0.04,0.1,0.14
-1.9646e-02,9.9,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.02
-1.9639e-02,9.9,10.3,-1.22,-1.22,-0.04,-0.04,0.1,0.1
-1.9631e-02,9.9,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.02
-1.9623e-02,10.1,10.3,-1.26,-1.22,-0.08,-0.04,0.06,0.1
-1.9616e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.12,0.1,0.02
-1.9608e-02,10.1,10.3,-1.26,-1.22,-0.04,-0.04,0.06,0.1
-1.9600e-02,9.9,9.9,-1.26,-1.3,-0.08,-0.12,0.06,0.02
-1.9593e-02,9.9,10.3,-1.22,-1.18,-0.08,-0.04,0.1,0.1
-1.9585e-02,9.9,9.9,-1.26,-1.3,-0.04,-0.08,0.06,0.02
-1.9577e-02,9.9,10.1,-1.26,-1.22,-0.08,-8.9407e-10,0.06,0.1
-1.9570e-02,10.1,9.9,-1.26,-1.3,-0.08,-0.08,0.06,-0.02
-1.9562e-02,9.9,10.1,-1.26,-1.22,-0.04,-8.9407e-10,0.06,0.1
-1.9554e-02,10.1,9.9,-1.26,-1.3,-0.04,-0.08,0.06,-0.02
-1.9547e-02,9.9,10.1,-1.22,-1.22,-0.04,-8.9407e-10,0.06,0.1
-1.9539e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.08,0.06,-0.02
-1.9531e-02,10.1,10.3,-1.22,-1.18,-0.04,-8.9407e-10,0.06,0.1
-1.9523e-02,9.9,9.9,-1.22,-1.3,-0.04,-0.08,0.06,-0.02
-1.9516e-02,10.1,10.1,-1.22,-1.18,-0.04,-8.9407e-10,0.06,0.1
-1.9508e-02,9.9,9.9,-1.22,-1.3,-0.08,-0.08,0.06,-0.02
-1.9500e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,-8.9407e-10,0.06,0.1
-1.9493e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.08,0.06,-0.02
-1.9485e-02,10.1,10.1,-1.22,-1.18,-0.04,-8.9407e-10,0.06,0.06
-1.9477e-02,9.9,9.9,-1.26,-1.3,-0.04,-0.08,0.06,-0.02
-1.9470e-02,9.9,10.1,-1.22,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9462e-02,9.9,9.7,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9454e-02,9.9,10.3,-1.22,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9447e-02,9.9,9.9,-1.26,-1.3,-0.04,-0.08,0.06,-0.02
-1.9439e-02,9.9,10.1,-1.22,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9431e-02,9.9,9.9,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9424e-02,9.9,10.1,-1.26,-1.22,-0.04,-8.9407e-10,0.06,0.06
-1.9416e-02,10.1,9.9,-1.26,-1.3,-0.04,-0.08,0.02,-0.02
-1.9408e-02,9.9,10.1,-1.26,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9401e-02,10.1,9.9,-1.22,-1.3,-8.9407e-10,-0.08,0.02,-0.02
-1.9393e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,-8.9407e-10,0.02,0.06
-1.9385e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9378e-02,9.9,10.3,-1.26,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9370e-02,10.1,9.9,-1.22,-1.3,-8.9407e-10,-0.08,-0.02,-0.02
-1.9362e-02,10.1,10.1,-1.26,-1.18,-0.04,-8.9407e-10,0.02,0.06
-1.9355e-02,9.9,9.9,-1.22,-1.3,-8.9407e-10,-0.08,0.02,-0.02
-1.9347e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9339e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9331e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9324e-02,9.9,9.9,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9316e-02,10.1,10.1,-1.22,-1.18,-0.04,0.04,-0.02,0.06
-1.9308e-02,9.9,9.9,-1.22,-1.3,-8.9407e-10,-0.08,0.02,-0.02
-1.9301e-02,10.1,10.3,-1.22,-1.18,-0.04,0.04,0.02,0.06
-1.9293e-02,9.9,9.9,-1.22,-1.26,-0.04,-0.08,0.02,-0.02
-1.9285e-02,10.1,10.1,-1.22,-1.18,-0.04,0.04,0.02,0.06
-1.9278e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.08,0.02,-0.02
-1.9270e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.06
-1.9262e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.08,0.02,-0.02
-1.9255e-02,10.1,10.1,-1.22,-1.18,-0.04,0.04,0.02,0.06
-1.9247e-02,9.9,9.9,-1.22,-1.3,-0.04,-0.04,0.02,-0.02
-1.9239e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9232e-02,10.1,9.9,-1.22,-1.26,-0.04,-0.04,0.02,-0.02
-1.9224e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9216e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.08,0.02,-0.06
-1.9209e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9201e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9193e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9186e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.08,0.02,-0.06
-1.9178e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.06
-1.9170e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9163e-02,10.1,10.1,-1.22,-1.18,0.04,0.04,0.02,0.06
-1.9155e-02,10.1,9.9,-1.22,-1.3,-0.04,-0.04,0.02,-0.06
-1.9147e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9139e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.9132e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9124e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9116e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9109e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9101e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9093e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9086e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9078e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9070e-02,9.9,10.3,-1.18,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9063e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9055e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.06
-1.9047e-02,9.9,9.9,-1.22,-1.26,-0.04,-0.04,0.02,-0.06
-1.9040e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.9032e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.9024e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9017e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.9009e-02,10.1,10.1,-1.26,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.9001e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8994e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8986e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8978e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8970e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8963e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8955e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8947e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8940e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8932e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8924e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8917e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8909e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8901e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8894e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8886e-02,10.1,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8878e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8871e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8863e-02,10.1,9.9,-1.18,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8855e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.06
-1.8848e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8840e-02,10.1,10.1,-1.22,-1.18,0.04,0.04,0.02,0.02
-1.8832e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8825e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.06
-1.8817e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8809e-02,10.1,10.1,-1.22,-1.18,0.04,0.04,-0.02,0.02
-1.8802e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8794e-02,9.9,10.1,-1.22,-1.18,-8.9407e-10,0.04,-0.02,0.02
-1.8786e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
-1.8778e-02,10.1,10.1,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.02
-1.8771e-02,10.1,9.9,-1.22,-1.26,-8.9407e-10,-0.04,0.02,-0.06
-1.8763e-02,9.9,10.3,-1.22,-1.18,-8.9407e-10,0.04,0.02,0.06
-1.8755e-02,9.9,9.9,-1.22,-1.26,-8.9407e-10,-0.04,-0.02,-0.06
