
Relative time,Ch1,Ch2
s,V,V
0.017477,-11.544118,-3.2039218
0.017478,-11.5,-3.2009806
0.017479,-11.460785,-3.1960786
0.01748,-11.465687,-3.2000002
0.017481,-11.534314,-3.1901963
0.017482,-11.446079,-3.1921571
0.017483,-11.485295,-3.2039218
0.017484,-11.495098,-3.2049022
0.017485,-11.401961,-3.2039218
0.017486,-11.534314,-3.2000002
0.017487,-11.490196,-3.1980394
0.017488,-11.401961,-3.1911767
0.017489,-11.539216,-3.1872551
0.01749,-11.421569,1.1382354
0.017491,-11.480393,0.58921572
0.017492,-11.387255,0.55784317
0.017493,-11.465687,0.5411765
0.017494,-11.5,0.53921572
0.017495,-11.333334,0.52058827
0.017496,-11.426471,0.5284314
0.017497,-11.480393,0.51568631
0.017498,-11.436275,0.50882356
0.017499,-11.431373,0.49803925
0.0175,-11.514706,0.50490199
0.017501,-11.367647,0.48823532
0.017502,-11.475491,0.49215689
0.017503,-11.509804,0.47352944
0.017504,-11.465687,0.46176473
0.017505,-11.465687,0.46274513
0.017506,-11.465687,0.45686277
0.017507,-11.470589,0.44411767
0.017508,-11.470589,0.44803924
0.017509,-11.431373,0.45000003
0.01751,-11.465687,0.43333336
0.017511,-11.401961,0.44607846
0.017512,-11.411765,0.43235297
0.017513,-11.034314,0.43823532
0.017514,-10.622549,0.42647061
0.017515,-10.357844,0.42058826
0.017516,-10.078432,0.41372551
0.017517,-9.8970592,0.41470591
0.017518,-9.8578435,0.42058826
0.017519,-9.5784317,0.41372551
0.01752,-9.5490199,-3.2539218
0.017521,-9.1911768,-3.3490198
0.017522,-8.9656866,-3.3303924
0.017523,-8.8676474,-3.319608
0.017524,-8.7009807,-3.3156865
0.017525,-8.661765,-3.3127453
0.017526,-8.6911768,-3.3049022
0.017527,-8.6470591,-3.3088237
0.017528,-8.539216,-3.3039218
0.017529,-8.6323532,-3.2911767
0.01753,-8.6372552,-3.2892159
0.017531,-8.5441179,-3.2892159
0.017532,-8.4754905,-3.2931374
0.017533,-8.5147062,-3.2843139
0.017534,-8.3921572,-3.2823531
0.017535,-8.5882356,-3.2862747
0.017536,-8.539216,-3.2715688
0.017537,-8.5441179,-3.2637257
0.017538,-8.4509807,-3.269608
0.017539,-8.4852944,-3.2686276
0.01754,-8.5882356,-3.279412
0.017541,-8.7107846,-3.2637257
0.017542,-8.9411768,-3.2598041
0.017543,-9.1862748,-3.251961
0.017544,-9.3578435,-3.2529414
0.017545,-9.5294121,-3.2401963
0.017546,-9.8774513,-3.2568629
0.017547,-10.156863,-3.2480394
0.017548,-11.225491,-3.2529414
0.017549,-11.490196,-3.2450982
0.01755,-11.534314,-3.2431374
0.017551,-11.416667,-3.2372551
0.017552,-11.583334,-3.251961
0.017553,-11.490196,-3.2509806
0.017554,-11.436275,-3.2568629
0.017555,-11.333334,-3.2558825
0.017556,-11.308824,-3.2509806
0.017557,-10.578432,-3.2509806
0.017558,-10.754902,-3.2333335
0.017559,-11.196079,-3.2382355
0.01756,-11.34804,-3.247059
0.017561,-11.34804,-3.2549022
0.017562,-11.338236,-3.2392159
0.017563,-11.436275,-3.2411767
0.017564,-11.431373,-3.2382355
0.017565,-11.382353,-3.2362747
0.017566,-11.465687,-3.2421571
0.017567,-11.480393,-3.2401963
0.017568,-11.436275,-3.2392159
0.017569,-11.401961,-3.2382355
0.01757,-11.450981,-3.2392159
0.017571,-11.446079,-3.2284316
0.017572,-11.431373,-3.2303923
0.017573,-11.401961,0.58725494
0.017574,-11.441177,0.51274513
0.017575,-11.455883,0.51274513
0.017576,-11.416667,0.50686278
0.017577,-11.318628,0.48725493
0.017578,-11.495098,0.49705885
0.017579,-11.534314,0.48137258
0.01758,-11.534314,0.48137258
0.017581,-11.426471,0.45882356
0.017582,-11.406863,0.46470591
0.017583,-11.421569,0.44509807
0.017584,-11.519608,0.44803924
0.017585,-11.480393,0.43529414
0.017586,-11.436275,0.43823532
0.017587,-11.52451,0.43039218
0.017588,-11.588236,0.42647061
0.017589,-11.34804,0.43235297
0.01759,-11.421569,0.4156863
