




Relative time,Ch1,Ch2
s,V,V
0.016224,-5.5833335,-3.4411767
0.016225,-5.5563727,-3.4382355
0.016226,-5.529412,-3.4343139
0.016227,-5.5147061,-3.4392159
0.016228,-5.5563727,-3.4372551
0.016229,-5.6151963,-3.4323531
0.01623,-5.772059,-3.4225492
0.016231,-5.8627453,-3.4343139
0.016232,-6.0000002,-3.4186277
0.016233,-6.276961,-3.4186277
0.016234,-6.4264708,-3.4274512
0.016235,-6.5906865,-3.4176473
0.016236,-6.784314,-3.4186277
0.016237,-6.8799022,-3.4186277
0.016238,-7.0906865,-3.4107845
0.016239,-7.2647061,-3.4156865
0.01624,-7.4534316,-3.4215688
0.016241,-7.6151963,-3.4186277
0.016242,-7.8382356,-3.3284316
0.016243,-7.9485297,-3.4284316
0.016244,-8.2156866,-3.4127453
0.016245,-8.3799023,-3.4156865
0.016246,-8.4632356,-3.4068629
0.016247,-8.2328434,-3.4107845
0.016248,-7.6495101,-3.4147061
0.016249,-7.406863,-3.4039218
0.01625,-7.1004904,-3.4039218
0.016251,-6.5490198,-3.4117649
0.016252,-6.3602943,-3.4000002
0.016253,-6.6642159,-3.4049022
0.016254,-6.9534316,-3.3990198
0.016255,-7.1274512,-3.401961
0.016256,-7.1715689,-3.3990198
0.016257,-7.2450983,-3.4137257
0.016258,-7.2598042,-3.401961
0.016259,-7.2132355,-3.397059
0.01626,-7.3455885,-3.4029414
0.016261,-7.3259807,-3.3931375
0.016262,-7.3504905,-3.4049022
0.016263,-7.3406865,-3.4000002
0.016264,-7.3799022,-3.4009806
0.016265,-7.3872552,-3.3921571
0.016266,-7.3308826,-3.3990198
0.016267,-7.3676473,-3.3931375
0.016268,-7.3750003,-3.4029414
0.016269,-7.3700983,-3.3941178
0.01627,-7.401961,-3.3990198
0.016271,-7.3774512,-3.4039218
0.016272,-7.4387258,-3.397059
0.016273,-7.4534316,-3.3941178
0.016274,-7.4558826,-3.3980394
0.016275,-7.4411767,-3.3901963
0.016276,-7.409314,-3.397059
0.016277,-7.409314,-3.4009806
0.016278,-7.4142159,-3.401961
0.016279,-7.5416669,-3.3901963
0.01628,-7.4534316,0.57647062
0.016281,-7.6470591,0.40000002
0.016282,-7.5245101,0.39509806
0.016283,-7.411765,0.38627453
0.016284,-7.3774512,0.38529414
0.016285,-7.3382356,0.36078434
0.016286,-7.5122552,0.37254904
0.016287,-7.9264709,0.35588237
0.016288,-8.3284317,0.35392159
0.016289,-8.541667,0.33529414
0.01629,-8.669118,0.33921571
