




Relative time,Ch1,Ch2
s,V,V
0.032448,-3.9558825,-3.3990198
0.03245,-3.8529413,-3.3901963
0.032452,-3.9411766,-3.4078433
0.032454,-3.9068629,-3.3960786
0.032456,-3.9950982,-3.3960786
0.032458,-3.8676472,-3.397059
0.03246,-4.014706,-3.3892159
0.032462,-3.8529413,-3.3882355
0.032464,-3.9117648,-3.4029414
0.032466,-3.8627452,-3.4009806
0.032468,-3.6960786,-3.3990198
0.03247,-3.7205884,-3.3921571
0.032472,-3.5686276,-3.397059
0.032474,-3.6127452,-3.3960786
0.032476,-3.6960786,-3.4058826
0.032478,-3.6176472,-3.3931375
0.03248,-3.6617648,-3.3960786
0.032482,-3.6323531,-3.3862747
0.032484,-3.5686276,-3.3931375
0.032486,-3.6519609,-3.3892159
0.032488,-3.6911766,-3.401961
0.03249,-3.6127452,-3.3931375
0.032492,-3.7009805,-3.3901963
0.032494,-3.7254903,-3.4049022
0.032496,-3.7598041,-3.4039218
0.032498,-3.6911766,-3.401961
0.0325,-3.7156864,-3.397059
0.032502,-3.7058825,-3.3990198
0.032504,-3.8627452,-3.3990198
0.032506,-3.8137256,-3.4039218
0.032508,-3.7450982,-3.3980394
0.03251,-3.7205884,-3.4088237
0.032512,-3.7892158,-3.4098041
0.032514,-3.6911766,-3.4049022
0.032516,-3.8137256,-3.4049022
0.032518,-3.8431374,-3.397059
0.03252,-3.7892158,-3.3950982
0.032522,-3.897059,-3.4058826
0.032524,-3.7990197,-3.3960786
0.032526,-3.9166668,-3.4000002
0.032528,-3.7941178,-3.4029414
0.03253,-3.764706,-3.3892159
0.032532,-3.7843139,-3.3931375
0.032534,-3.8284315,-3.3960786
0.032536,-3.9117648,-3.3960786
0.032538,-3.8431374,-3.4000002
0.03254,-3.887255,-3.401961
0.032542,-3.8578433,-3.3911767
0.032544,-3.892157,-3.3872551
0.032546,-3.8480394,-3.3950982
0.032548,-3.9313727,-3.3852943
0.03255,-3.8725492,-3.3921571
0.032552,-3.9460786,-3.3980394
0.032554,-3.9460786,-3.4078433
0.032556,-3.9019609,-3.4029414
0.032558,-3.9313727,-3.4039218
0.03256,-3.9068629,-3.4000002
0.032562,-3.9901962,-3.4058826
0.032564,-3.9019609,-3.401961
0.032566,-3.9117648,-3.4039218
0.032568,-3.7892158,-3.4009806
